Year,ONS CHD LA Code,ONS SNAC LA Code,Local Authority  ,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches,Other vehicles,Total
2016,E09000011,00AL,Greenwich,77.768,3.553,5.813,0.742,0.239,0.933,89.048
2016,E09000012,00AM,Hackney,41.897,3.196,3.283,0.180,0.381,0.514,49.451
2016,E09000013,00AN,Hammersmith and Fulham,42.923,4.125,2.602,0.213,0.116,0.643,50.622
2016,E09000014,00AP,Haringey,62.099,3.491,5.123,0.365,1.984,0.549,73.611
2016,E09000015,00AQ,Harrow,100.962,2.293,6.018,0.705,0.377,1.107,111.462
2016,E09000016,00AR,Havering,115.418,4.055,12.263,1.526,0.320,1.957,135.539
2016,E09000017,00AS,Hillingdon,136.842,4.565,15.240,1.272,0.706,1.279,159.904
2016,E09000018,00AT,Hounslow,96.898,4.243,8.019,1.593,0.474,1.072,112.299
2016,E09000019,00AU,Islington,36.529,3.178,2.842,0.219,0.146,0.727,43.641
2016,E09000020,00AW,Kensington and Chelsea,41.924,2.811,1.822,0.087,0.104,0.351,47.099
2016,E09000021,00AX,Kingston upon Thames,66.142,3.391,5.799,0.153,0.210,0.610,76.305
2016,E09000022,00AY,Lambeth,64.641,5.125,5.024,0.197,0.232,0.581,75.800
2016,E09000023,00AZ,Lewisham,77.142,3.814,5.587,0.331,0.261,0.687,87.822
2016,E09000024,00BA,Merton,73.833,3.724,6.515,0.818,2.894,1.425,89.209
2016,E09000025,00BB,Newham,67.815,2.811,5.044,0.692,1.520,1.260,79.142
2016,E09000026,00BC,Redbridge,105.660,2.821,7.038,0.328,0.322,1.167,117.336
2016,E09000027,00BD,Richmond upon Thames,77.532,4.294,3.944,0.174,1.078,0.483,87.505
2016,E09000028,00BE,Southwark,57.868,4.072,4.843,0.265,1.508,1.221,69.777
2016,E09000029,00BF,Sutton,87.061,4.074,8.390,0.476,0.254,0.805,101.060
2016,E09000030,00BG,Tower Hamlets,43.566,2.942,3.212,0.366,0.217,3.128,53.431
2016,E09000031,00BH,Waltham Forest,78.868,3.266,6.834,0.607,0.244,0.787,90.606
2016,E09000032,00BJ,Wandsworth,80.369,6.609,5.423,0.386,0.368,0.546,93.701
2016,E09000033,00BK,Westminster,50.490,2.930,2.907,0.135,0.257,1.404,58.123
